ID_POL;Fecha_Siniestro;TipoSin;Costes
B85782;22/04/2017;Daños Propios;411,91
B85802;29/04/2017;Daños Propios;578,97
B85803;26/09/2017;Daños Propios;94,79
B85803;26/09/2017;Daños Propios;168,31
B85815;19/09/2017;Daños Propios;1047,4
B85864;08/05/2017;Daños Propios;426,38
B85869;23/10/2017;Daños Propios;171,12
B85869;23/10/2017;Daños Propios;235,25
B85869;13/06/2017;Daños Propios;236,94
B85869;07/02/2017;Daños Propios;461,47
B85870;08/08/2017;Daños Propios;299,73
B85870;06/05/2017;Daños Propios;733,91
B85897;27/08/2017;Daños Propios;299,28
B85909;01/07/2017;Daños Propios;299,73
B85931;26/05/2017;Daños Propios;299,73
B85955;16/09/2017;Daños Propios;259,63
B85955;16/09/2017;Daños Propios;372,73
B85955;16/09/2017;Daños Propios;592,94
B85955;24/02/2017;Daños Propios;933,05
B85982;10/11/2017;Daños Propios;1038,83
B86000;17/02/2017;Daños Propios;320,55
B86000;21/10/2017;Daños Propios;886,61
B86000;17/03/2017;Daños Propios;2152,02
B86011;07/02/2017;Daños Propios;76,51
B86011;16/09/2017;Daños Propios;449,13
B86011;16/09/2017;Daños Propios;461
B86011;09/08/2017;Daños Propios;493,26
B86014;04/11/2017;Daños Propios;348,37
B86014;04/11/2017;Daños Propios;617,81
B86024;20/10/2017;Daños Propios;135,74
B86024;09/09/2017;Daños Propios;145,71
B86024;20/10/2017;Daños Propios;354,95
B86024;09/09/2017;Daños Propios;471,75
B86024;09/09/2017;Daños Propios;630,15
B86024;09/09/2017;Daños Propios;712,63
B86024;09/09/2017;Daños Propios;740,66
B86063;10/11/2017;Daños Propios;183,52
B86086;22/06/2017;Daños Propios;4195,08
B86095;29/09/2017;Daños Propios;670,22
B86148;03/11/2017;Daños Propios;151,76
B86156;06/08/2017;Daños Propios;190,62
B86168;01/11/2017;Daños Propios;412,58
B86170;23/03/2017;Daños Propios;1040
B86183;10/11/2017;Daños Propios;207,68
B86196;28/04/2017;Daños Propios;248,76
B86206;16/06/2017;Daños Propios;448,41
B86227;16/04/2017;Daños Propios;406,11
B86229;07/01/2017;Daños Propios;171,07
B86247;11/06/2017;Daños Propios;421,18
B86286;02/09/2017;Daños Propios;201,49
B86286;02/09/2017;Daños Propios;430,7
B86288;19/03/2017;Daños Propios;1115,25
B86322;19/12/2017;Daños Propios;200,52
B86322;19/12/2017;Daños Propios;285,16
B86322;19/12/2017;Daños Propios;381,97
B86322;19/12/2017;Daños Propios;386,92
B86322;19/12/2017;Daños Propios;390,05
B86336;16/02/2017;Daños Propios;569,23
B86341;05/03/2017;Daños Propios;71,96
B86342;24/11/2017;Daños Propios;808,68
B86396;21/10/2017;Daños Propios;324,23
B86476;07/06/2017;Daños Propios;1661,44
B86536;24/09/2017;Daños Propios;404,01
B86536;24/03/2017;Daños Propios;924,69
B86647;21/04/2017;Daños Propios;933,55
B86649;21/10/2017;Daños Propios;302,88
B86649;21/10/2017;Daños Propios;626,24
B86651;03/02/2017;Daños Propios;138,75
B86679;08/06/2017;Daños Propios;95,25
B86679;08/08/2017;Daños Propios;95,25
B86726;26/03/2017;Daños Propios;409,46
B86732;03/08/2017;Daños Propios;209,76
B86769;26/04/2017;Daños Propios;492,99
B86816;27/02/2017;Daños Propios;293,2
B86816;27/02/2017;Daños Propios;338,24
B86816;27/02/2017;Daños Propios;349,35
B86816;27/02/2017;Daños Propios;582,55
B86833;21/08/2017;Daños Propios;356,95
B86846;24/10/2017;Daños Propios;257,75
B86846;24/10/2017;Daños Propios;273,45
B86846;24/10/2017;Daños Propios;472,46
B86846;24/10/2017;Daños Propios;472,46
B86858;29/10/2017;Daños Propios;169,66
B86858;29/10/2017;Daños Propios;408,23
B86858;29/08/2017;Daños Propios;746,56
B86858;01/10/2017;Daños Propios;1214,22
B86867;22/12/2017;Daños Propios;299,73
B86881;23/10/2017;Daños Propios;119,52
B86881;23/10/2017;Daños Propios;213,89
B86881;23/10/2017;Daños Propios;289,64
B86881;23/10/2017;Daños Propios;343,78
B86881;23/10/2017;Daños Propios;355,59
B86881;23/10/2017;Daños Propios;361,45
B86914;24/10/2017;Daños Propios;59,36
B86914;23/03/2017;Daños Propios;71,96
B86914;24/10/2017;Daños Propios;193,67
B86914;24/10/2017;Daños Propios;302
B86914;24/10/2017;Daños Propios;356,17
